1)Origen: John F. Kennedy 2)Destino: Ministro Pistarini 3)Aerolinea: United Airlines 4)Reservas: 20
1)Origen: Ministro Pistarini 2)Destino: John F. Kennedy 3)Aerolinea: United Airlines 4)Reservas: 20
1)Origen: John F. Kennedy 2)Destino: Ministro Pistarini 3)Aerolinea: Delta 4)Reservas: 152
1)Origen: Ministro Pistarini 2)Destino: John F. Kennedy 3)Aerolinea: Delta 4)Reservas: 152
1)Origen: Tocumen 2)Destino: Madrid-Barajas 3)Aerolinea: United Airlines 4)Reservas: 96
1)Origen: Madrid-Barajas 2)Destino: Tocumen 3)Aerolinea: United Airlines 4)Reservas: 96
1)Origen: Westchester 2)Destino: Logan 3)Aerolinea: United Airlines 4)Reservas: 126
1)Origen: Logan 2)Destino: Westchester 3)Aerolinea: United Airlines 4)Reservas: 126
1)Origen: Tancredo Neves 2)Destino: Logan 3)Aerolinea: United Airlines 4)Reservas: 18
1)Origen: Logan 2)Destino: Tancredo Neves 3)Aerolinea: United Airlines 4)Reservas: 18
1)Origen: Silvio Pettirosi 2)Destino: Armando Tola 3)Aerolinea: Aerolineas 4)Reservas: 15
1)Origen: Armando Tola 2)Destino: Silvio Pettirosi 3)Aerolinea: Aerolineas 4)Reservas: 15
1)Origen: Comodoro Benitez 2)Destino: El prat 3)Aerolinea: Delta 4)Reservas: 80
1)Origen: El prat 2)Destino: Comodoro Benitez 3)Aerolinea: Delta 4)Reservas: 80
1)Origen: Jorge Chavez 2)Destino: Pucon 3)Aerolinea: LATAM 4)Reservas: 100
1)Origen: Pucon 2)Destino: Jorge Chavez 3)Aerolinea: LATAM 4)Reservas: 100
1)Origen: Pucon 2)Destino: Humberto Delgado 3)Aerolinea: LATAM 4)Reservas: 120
1)Origen: Humberto Delgado 2)Destino: Pucon 3)Aerolinea: LATAM 4)Reservas: 120
1)Origen: Pucon 2)Destino: Humberto Delgado 3)Aerolinea: Delta 4)Reservas: 10
1)Origen: Humberto Delgado 2)Destino: Pucon 3)Aerolinea: Delta 4)Reservas: 10
1)Origen: El prat 2)Destino: Madrid-Barajas 3)Aerolinea: Avianca 4)Reservas: 40
1)Origen: Madrid-Barajas 2)Destino: El prat 3)Aerolinea: Avianca 4)Reservas: 40

